domain,url,start,end
yahoo.com,https://www.yahoo.com/news/articles/woman-76-found-dead-oak-175243972.html,1777693313.041508913,1777693322.095547915
github.com,https://github.com/zizo03thor,1777693327.095721722,1777693333.863398314
github.com,https://github.com/Youcef3939/TerraMind/stargazers,1777693338.863561869,1777693345.801059246
google.com,https://www.google.com/finance/quote/APM:NASDAQ,1777693350.801255941,1777693363.322369337
google.com,https://www.google.com/finance/quote/ALCRB:EPA,1777693368.322645903,1777693375.068748474
google.com,https://www.google.com/finance/quote/CYM:ASX,1777693380.068935633,1777693386.400324821
google.com,https://www.google.com/finance/quote/RCI:BKK,1777693391.400526285,1777693397.385972261
google.com,https://www.google.com/finance/quote/RBF1012:MUTF_CA,1777693402.386159658,1777693408.195151329
google.com,https://www.google.com/finance/quote/519003:BOM,1777693413.195329189,1777693419.330470085
geeksforgeeks.org,https://www.geeksforgeeks.org/javascript/how-to-make-ajax-call-from-javascript/,1777693424.330653429,1777693437.572686434
google.com,https://www.google.com/finance/quote/LXE:CVE,1777693442.572860479,1777693448.758465528
yahoo.com,https://www.yahoo.com/news/musk-doge-takeover-peace-institute-213714970.html,1777693453.758668900,1777693578.859861851
geeksforgeeks.org,https://www.geeksforgeeks.org/css/css-border-bottom-right-radius-property/,1777693583.860032082,1777693708.961515427
google.com,https://www.google.com/finance/quote/RFX:LON,1777693713.961692810,1777693762.079327583
geeksforgeeks.org,https://www.geeksforgeeks.org/javascript/explain-the-generator-function-in-es6/,1777693767.079521418,1777693778.528384686
yahoo.com,https://www.yahoo.com/news/articles/raleigh-convention-center-reopens-dec-162350990.html,1777693783.528543949,1777693792.026103497
google.com,https://www.google.com/finance/quote/JGSMX:MUTF,1777693797.026265144,1777693803.599020958
google.com,https://www.google.com/finance/quote/NWF:NZE,1777693808.599251032,1777693815.185340881
google.com,https://www.google.com/intl/ar_ae/adsense/start/solutions/,1777693820.185553551,1777693834.896476746
google.com,https://www.google.com/finance/quote/VUN:TSE,1777693839.896667242,1777693846.324910402
